step,episode,waiting_time,co2_emission,reward
155,5,191.0,79.54255868161997,-459.63381059504366
160,5,141.0,68.61922729733688,-474.5648770798042
165,5,266.0,84.55152293479064,-492.18280427523365
170,5,302.0,97.43035115873897,-515.6081031066167
175,5,379.0,82.29142817894818,-538.740740389136
180,5,707.0,101.97944491996999,-571.6783663652809
185,5,527.0,59.76566516615363,-603.0141104109658
190,5,117.0,75.39789705708907,-621.2245451003445
195,5,196.0,87.96340679740022,-635.671386299649
0,6,0.0,8.647469736666713,-0.17294939473333426
5,6,7.0,22.996189935898872,-2.0998709524269077
10,6,14.0,37.5357158599453,-4.993007432255986
15,6,94.0,44.59168333335655,-9.929883072829586
20,6,119.0,53.514554044067694,-20.206611770889584
25,6,304.0,71.91452127699588,-37.74798958999256
30,6,155.0,87.50982027260895,-56.99832767787333
35,6,121.0,71.47841109656635,-69.86537280777856
40,6,85.0,79.74662478132389,-82.93927677540906
45,6,195.0,106.1475473746406,-99.20404719231178
50,6,304.0,87.37220112020141,-119.20970105182658
55,6,173.0,74.76700992573303,-136.78790771657538
60,6,497.0,98.75628408440126,-162.63594138579316
65,6,372.0,89.40147208525356,-192.75920457743473
70,6,408.0,88.00159838890647,-218.15651288330858
75,6,412.0,85.15114310511986,-246.60721410661264
80,6,232.0,72.771028476519,-266.2738168446689
85,6,308.0,78.07831064441406,-282.13636203813286
90,6,339.0,58.953714548547985,-303.47709901294354
95,6,394.0,93.77526312616125,-330.5206794341825
100,6,128.0,74.83951622462544,-345.66496791187484
105,6,59.0,76.8779306425917,-357.62944416331356
110,6,125.0,76.72516231032463,-368.9074845565985
115,6,145.0,75.16602097919359,-382.73320682160056
120,6,114.0,77.72902319099539,-395.487487788748
125,6,361.0,98.06850652398,-412.0903618941439
130,6,549.0,73.89392415686515,-444.4515589262534
135,6,672.0,100.14607869412318,-479.7175029945691
140,6,342.0,73.90178170326422,-511.64157596408114
145,6,107.0,68.1930976541702,-524.9351441777291
150,6,82.0,82.5496181694633,-537.4007212687337
155,6,226.0,70.88873194707912,-549.4197727498249
160,6,338.0,74.40251526220216,-569.9694335653087
165,6,510.0,71.11975808950797,-596.0230720689452
170,6,306.0,69.68046437244475,-618.662404437874
175,6,293.0,84.04825801281471,-636.0784143237333
180,6,1047.0,103.18492459823555,-675.171411565848
185,6,1204.0,74.73617454377344,-729.5675435569065
190,6,563.0,81.3914637471376,-771.574873826584
195,6,306.0,81.65189006147789,-796.0298563948196
0,7,0.0,9.094822587506016,-0.18189645175012034
5,7,26.0,21.596890648072442,-2.327490683695597
10,7,22.0,40.852678868042176,-6.177246022634356
15,7,67.0,22.706722138605134,-10.147602312096627
20,7,71.0,35.125109644842155,-17.462214379560898
25,7,210.0,61.82942968986045,-31.808474035554863
30,7,51.0,51.12384956776886,-39.74781782257588
35,7,41.0,32.10335071489848,-44.39354184654436
40,7,76.0,42.08462220365412,-49.525134979029545
45,7,245.0,68.0505536945791,-64.60218619389136
50,7,74.0,33.70494514417955,-74.05131577784934
55,7,46.0,59.252421446644355,-81.45011111416873
60,7,243.0,55.535537311712105,-95.81701127110627
65,7,337.0,71.60337895431137,-116.16871797089605
70,7,714.0,102.41391608420088,-147.8421783373622
75,7,627.0,66.40522217567955,-179.82451317862973
80,7,698.0,74.1444851665852,-212.3601855658711
85,7,190.0,67.51719317157111,-238.09240275557602
90,7,77.0,75.51997868577503,-249.74772703514654
95,7,100.0,70.22867843313412,-259.930087952364
100,7,158.0,88.7868704430908,-275.92843429824313
105,7,160.0,85.88561234019681,-290.1169072302144
110,7,171.0,85.81680828125764,-306.6543946639716
115,7,603.0,99.62262332913993,-329.68295081670567
120,7,837.0,88.64607339628283,-377.3448751495366
125,7,753.0,87.34831753404482,-420.20669037454866
130,7,427.0,87.28304109306669,-457.4004648897403
135,7,672.0,89.9873666035492,-485.35044020634206
140,7,729.0,66.91128353241375,-520.8215341783034
145,7,728.0,85.20472028779263,-556.6439619110603
150,7,1310.0,102.26461440201521,-610.9725633194251
155,7,937.0,68.9140866704386,-666.534976924855
160,7,401.0,86.99685961953281,-705.7979262510487
165,7,80.0,77.98641587426096,-720.5777308333331
170,7,65.0,68.64929549155487,-729.6886887600778
175,7,141.0,99.26258972450621,-744.3403047360463
180,7,95.0,83.38807173969414,-757.0632025837086
185,7,361.0,86.14705167801243,-773.2393835846871
190,7,728.0,101.62037217175498,-813.2789948889756
195,7,741.0,83.07620452223719,-846.3192885964605
0,8,0.0,4.652149071108621,-0.09304298142217243
5,8,7.0,11.848605920255867,-1.8359378855785424
10,8,26.0,32.5259579767898,-6.835821604842856
15,8,3.0,14.831163443222806,-8.471004575162567
20,8,5.0,13.849462209486594,-10.032657646758675
25,8,12.0,15.14494579877894,-12.190678144055545
30,8,45.0,37.36330416753475,-15.99519506664418
35,8,330.0,60.23481443968529,-28.735653408325568
40,8,254.0,49.08138726859835,-42.89870871545798
45,8,69.0,33.72156451001987,-51.07521329066957
50,8,34.0,51.93892462172706,-57.59380340503856
55,8,35.0,41.33787888084757,-63.50297260540921
60,8,95.0,44.497070014582505,-70.31574975398757
65,8,218.0,57.577309814337745,-83.78977091736485
70,8,257.0,78.83016658025542,-105.19389656559227
75,8,490.0,91.1276179607715,-129.312756963133
80,8,655.0,86.56981640767711,-159.94852654746057
85,8,623.0,87.75384938694623,-198.66445576442274
90,8,504.0,82.8495831010782,-227.71687633112882
95,8,233.0,71.05252539020856,-247.2171295649044
100,8,59.0,70.00292602675316,-259.6438818122797
105,8,56.0,86.2237218983802,-269.9502713009666
110,8,453.0,99.57429623248088,-287.7382767511052
115,8,947.0,78.34689539674719,-332.43986014152995
120,8,979.0,85.44879508670331,-381.9715863997714
125,8,1509.0,99.64307462601636,-441.43170847030603
130,8,2256.0,102.93278309348037,-534.6918678471861
135,8,1716.0,65.77818204346717,-613.0938478384322
140,8,1488.0,85.31448861697761,-679.2876177961575
145,8,1297.0,82.60139399119991,-750.4342631674436
150,8,798.0,82.13907087188582,-798.7238204469535
155,8,358.0,64.32206887650966,-824.7732203058889
160,8,160.0,64.42519643416153,-838.6119857923809
165,8,252.0,76.88447287760654,-854.909407395674
170,8,194.0,71.75969523265445,-871.370203004943
175,8,198.0,66.99440426619552,-887.3387268695102
180,8,645.0,103.27012924742627,-912.7818824705937
185,8,990.0,78.12834402020592,-962.8136171203389
190,8,566.0,88.18618469447378,-1003.1463240002237
195,8,475.0,81.36806210476658,-1032.9575559158825
0,9,0.0,2.2701927837416824,-0.045403855674833654
5,9,32.0,40.98933005907295,-2.766169488689677
10,9,17.0,36.67052913591914,-7.471174777464572
15,9,9.0,26.72908712632252,-11.553526733653731
20,9,4.0,17.681558330496184,-14.737148275972071
25,9,3.0,18.32042121921047,-16.890413916998085
30,9,1.0,28.290616322495357,-19.81553740425058
35,9,42.0,34.669572884301,-23.46500489362623
40,9,397.0,66.84744743895051,-38.20465662769176
45,9,1028.0,106.2790937297681,-80.11753325679959
50,9,341.0,88.90454892161699,-114.72311324213686
55,9,176.0,61.15144008777757,-129.29829149231765
60,9,74.0,66.14400280103148,-138.73923677628457
65,9,243.0,59.88650951536843,-148.91951014274153
70,9,156.0,72.96159285352259,-168.9967555595822
75,9,50.0,56.6364969641768,-178.81239712596002
80,9,182.0,71.552667639439,-191.33974508120065
85,9,563.0,105.15445319079947,-216.03156036315485
90,9,522.0,73.84439062296613,-248.26100812557254
95,9,138.0,50.859898820872615,-264.1236294166365
100,9,106.0,92.76824499131925,-278.54640809924297
